회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
심플랫폼,444530,2025-03-21,6357627.0,8130752.0,520940.0,4389632.0,-1540097.0,-1193401.0,-1056027.0,-458.55,-20.56,80.16,-27.48,-27.89,15000,13800000,,-0.21,21.09,13.31,13.31,47.21,13.68,31.93,20.26,적전,-27.19,68.15,14.29,-408.47,-4.38,,0.76,신규상장,주권,소프트웨어 개발 및 공급업,KB증권(주),6135447,21050.0,14500.0
한텍,98070,2025-03-20,197006344.0,107904582.0,44112746.0,178615225.0,15155517.0,14837111.0,-19103727.0,121.1,7.47,18.12,9.84,45.23,10800,35737200,,3.24,-1.6,-2.65,-17.71,19.33,30.93,80.43,65.25,82.61,8.31,125.5,13.76,76.42,4.8,178.73,0.9,신규상장,주권,일반 목적용 기계 제조업,대신증권(주),11121141,25000.0,26400.0
티엑스알로보틱스,484810,2025-03-20,71423452.0,55362605.0,230665.0,33193262.0,3554805.0,2169978.0,1891842.0,344.71,3.6,11.82,12.77,22.49,13500,41517900,,5.89,45.33,95.95,200.86,-22.3,46.15,-14.17,-6.57,17.88,6.54,76.41,27.29,277.74,5.15,3.11,0.55,신규상장,주권,일반 목적용 기계 제조업,"신한투자증권 주식회사,엔에이치투자증권(주)",15450915,21300.0,20700.0
씨케이솔루션,480370,2025-03-17,119111159.0,85658849.0,679350.0,145563679.0,14558689.0,8185558.0,25203145.0,256.06,6.78,27.88,10.86,28.08,15000,22500000,,2.02,-2.63,-7.57,9.24,32.36,-21.04,-3458.35,3989.36,400.99,5.62,107.13,48.6,249.12,5.72,41300.52,1.21,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",엔에이치투자증권(주),10934861,27550.0,18760.0
서울보증보험,31210,2025-03-14,9097969145.0,3912775332.0,174553995.0,2583837264.0,519116502.0,416419160.0,539432304.0,,4.49,8.16,,56.99,26000,181536160,,,-3.62,,,3.14,-0.94,,,-26.10,16.12,,,,,,0.28,신규상장,주권,보험업,"미래에셋증권 주식회사,삼성증권(주)",69821598,28050.0,32000.0
엠디바이스,226590,2025-03-07,30406622.0,25771773.0,1705000.0,9850673.0,-4739109.0,-7340832.0,-1954516.0,556.04,-18.68,-88.32,-32.19,15.24,8350,10521000,,-6.14,-36.91,-11.0,116.18,-61.34,-2.62,269.5,-335.29,적확,-74.52,81.74,0.52,448.23,-2.7,0.67,0.25,신규상장,주권,전자부품 제조업,삼성증권(주),10567784,18000.0,11100.0
대진첨단소재,393970,2025-03-06,92417350.0,39218083.0,2912702.0,17609055.0,-2182588.0,-1666874.0,3335825.0,73.72,-2.06,-3.38,-5.97,57.56,9000,27000000,,-30.67,32.78,0.34,-0.42,17.44,-35.2,400.79,-451.74,적축,-9.47,157.56,12.83,24.86,-0.96,17.02,0.22,신규상장,주권,플라스틱제품 제조업,미래에셋증권 주식회사,14796820,17830.0,12110.0
엘케이켐,489500,2025-02-25,32703528.0,20870700.0,100000.0,15257954.0,5614646.0,3408027.0,4877266.0,176.38,13.62,33.16,41.28,36.18,21000,21000000,,0.94,88.47,96.06,116.56,35.71,17.98,17.72,20.49,-6.13,22.34,97.2,73.18,141.29,52.87,9.72,0.61,신규상장,주권,기타 화학제품 제조업,신영증권(주),6278056,64300.0,58800.0
위너스,479960,2025-02-24,34764331.0,9422901.0,1020000.0,27635510.0,3456692.0,3018845.0,2768904.0,37.18,9.01,12.16,15.47,72.89,8500,14450000,,1.49,7.74,1.89,18.1,4.23,2.79,56.22,38.37,52.75,10.92,310.3,186.06,24.91,10.33,10.72,0.82,신규상장,주권,기타 전기장비 제조업,미래에셋증권 주식회사,6851000,23450.0,34000.0
모티브링크,463480,2025-02-20,47048897.0,30248120.0,1855830.0,82921058.0,4188309.0,3956056.0,1102509.0,180.04,9.1,26.51,6.25,35.71,6000,18123540,,2.88,17.98,6.38,-7.73,28.79,25.49,12.27,13.83,9.20,4.77,108.99,4.32,118.39,8.94,6.79,1.91,신규상장,주권,전자부품 제조업,미래에셋증권 주식회사,12390358,16500.0,17610.0
동국생명과학,303810,2025-02-17,179128901.0,110424564.0,5629135.0,120161205.0,8529559.0,4166744.0,-4607662.0,160.72,2.43,6.23,9.83,38.35,9000,18000000,,4.03,8.94,22.74,16.23,5.49,12.05,36.91,35.92,-1.71,3.47,112.6,4.38,133.04,1.71,3.48,0.7,신규상장,주권,의약품 제조업,"엔에이치투자증권(주),KB증권(주)",15992070,12900.0,12530.0
오름테라퓨틱,475830,2025-02-14,164478661.0,225555969.0,460000.0,135417607.0,97927739.0,70057401.0,91753980.0,-369.3,74.93,-71.95,73.33,-37.13,20000,50000000,,0.26,630.33,1000.83,1085.52,-54.3,178261.77,-308.99,-313.6,흑전,51.73,61.72,61.39,-330.91,120.69,,1.45,신규상장,주권,기초 의약물질 제조업,한국투자증권(주),20929118,21000.0,21800.0
동방메디컬,240550,2025-02-13,94410829.0,57598640.0,7420470.0,70665600.0,12725143.0,8125299.0,3647347.0,156.47,8.73,25.11,23.62,38.99,10500,31500000,,1.6,2.83,0.15,-17.11,31.94,14.41,332.47,150.82,431.86,11.5,98.7,15.04,121.21,5.5,3.45,0.76,신규상장,주권,의료용 기기 제조업,엔에이치투자증권(주),20586940,14730.0,9680.0
아이에스티이,212710,2025-02-12,47499447.0,42707650.0,1813488.0,27079414.0,-722716.0,-142132.0,-4687144.0,891.27,-0.34,17.05,2.63,10.09,11400,14820000,,39.28,31.47,52.52,44.11,-174.19,-27.59,-148.11,-77.7,적축,-0.52,66.28,17.45,775.14,-0.61,3.82,0.65,신규상장,주권,반도체 제조업,KB증권(주),8999478,14430.0,22500.0
